Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: News removed
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 08:55:55 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Error	 Message: WriteError({"code":11000,"index":0,"errmsg":"E11000 duplicate key error collection: webshop.products index: _id_ dup key: { : ObjectId('59e7ffc364b7f1faf7a3310d') }","op":{"updatedAt":"2017-11-22T08:17:48.334Z","createdAt":"2017-11-22T08:17:48.334Z","_id":"59e7ffc364b7f1faf7a3310d","name":"Product 3","category":{"updatedAt":"2017-11-22T08:17:48.332Z","createdAt":"2017-11-22T08:17:48.332Z","_id":"5a01b5d5802bd61d4547f5b3","name":"Category 3"},"size":17,"price":30.25,"image":"assets/product-images/product-image1.jpg","ratings":[],"__v":0}})
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 09:17:48 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 09:20:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Error	 Message: WriteError({"code":11000,"index":0,"errmsg":"E11000 duplicate key error collection: webshop.products index: _id_ dup key: { : ObjectId('59e7ffc364b7f1faf7a3310d') }","op":{"updatedAt":"2017-11-22T13:46:15.311Z","createdAt":"2017-11-22T13:46:15.311Z","_id":"59e7ffc364b7f1faf7a3310d","name":"Product 3","category":{"updatedAt":"2017-11-22T13:46:15.309Z","createdAt":"2017-11-22T13:46:15.309Z","_id":"5a01b5d5802bd61d4547f5b3","name":"Category 3"},"size":17,"price":30.25,"image":"product-image1.jpg","ratings":[],"__v":0}})
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 14:46:15 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 15:04:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 15:13:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:08:44 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:17:31 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:18:21 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post removed
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Post saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 16:25:40 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
